business_name,business_long,business_lat,Visits,request_lat,request_long,price_tier,return,User_id
Dim Sum Garden,-75.156727,39.955399,96,39.9489653,-75.19283232,0,0,3918
Dim Sum Garden,-75.156727,39.955399,55,39.94309602,-75.19439327,0,0,4457
Dim Sum Garden,-75.156727,39.955399,16,39.94843643,-75.19143187,0,0,4741
Dim Sum Garden,-75.156727,39.955399,33,39.94747897,-75.19532193,0,0,1642
Dim Sum Garden,-75.156727,39.955399,70,39.95343316,-75.19051188,0,0,2307
Dim Sum Garden,-75.156727,39.955399,24,39.95564686,-75.19253266,0,0,1272
Dim Sum Garden,-75.156727,39.955399,87,39.94492266,-75.19474175,0,0,4468
Dim Sum Garden,-75.156727,39.955399,72,39.9488242,-75.19537378,0,0,2648
Dim Sum Garden,-75.156727,39.955399,10,39.9566168,-75.19194455,0,0,2585
Dim Sum Garden,-75.156727,39.955399,43,39.94082752,-75.19544906,0,0,4475
Dim Sum Garden,-75.156727,39.955399,7,39.95276514,-75.19358436,0,0,4144
Dim Sum Garden,-75.156727,39.955399,76,39.95762325,-75.19039912,0,0,2269
Dim Sum Garden,-75.156727,39.955399,65,39.94732907,-75.19419749,0,0,1567
Dim Sum Garden,-75.156727,39.955399,16,39.95844083,-75.19045722,0,0,2094
Dim Sum Garden,-75.156727,39.955399,80,39.95787441,-75.19178111,0,0,2036
Dim Sum Garden,-75.156727,39.955399,27,39.94103799,-75.19154527,0,0,2828
Dim Sum Garden,-75.156727,39.955399,19,39.95495361,-75.19330526,0,0,2129
Dim Sum Garden,-75.156727,39.955399,58,39.9508647,-75.1950014,0,0,1460
Dim Sum Garden,-75.156727,39.955399,66,39.95976461,-75.19342789,0,0,2526
Dim Sum Garden,-75.156727,39.955399,16,39.95868741,-75.19514016,0,0,1853
Dim Sum Garden,-75.156727,39.955399,19,39.94898624,-75.19504679,0,0,4605
Dim Sum Garden,-75.156727,39.955399,100,39.95041139,-75.1925431,0,0,3725
Dim Sum Garden,-75.156727,39.955399,98,39.95490674,-75.19445762,0,0,4004
Dim Sum Garden,-75.156727,39.955399,89,39.94137857,-75.19567074,0,0,4615
Dim Sum Garden,-75.156727,39.955399,58,39.9599975,-75.19475632,0,1,2231
Dim Sum Garden,-75.156727,39.955399,86,39.94668745,-75.19323948,0,1,4523
Dim Sum Garden,-75.156727,39.955399,71,39.9457023,-75.19521554,0,1,3695
Dim Sum Garden,-75.156727,39.955399,93,39.94734245,-75.19342745,0,1,2757
Dim Sum Garden,-75.156727,39.955399,12,39.95058518,-75.19089314,0,1,3273
Dim Sum Garden,-75.156727,39.955399,26,39.95380953,-75.1922073,0,1,3461
Dim Sum Garden,-75.156727,39.955399,40,39.95030679,-75.19517739,0,1,1051
Dim Sum Garden,-75.156727,39.955399,80,39.95266352,-75.19430848,0,1,1470
Dim Sum Garden,-75.156727,39.955399,55,39.9590447,-75.19340318,0,1,4210
Dim Sum Garden,-75.156727,39.955399,82,39.94045787,-75.19098682,0,1,2771
Dim Sum Garden,-75.156727,39.955399,72,39.94842609,-75.19419565,0,1,4236
Dim Sum Garden,-75.156727,39.955399,95,39.94010633,-75.19227936,0,1,2030
Dim Sum Garden,-75.156727,39.955399,81,39.94970204,-75.19287611,0,1,2959
Dim Sum Garden,-75.156727,39.955399,40,39.95727315,-75.19226575,0,1,1743
Dim Sum Garden,-75.156727,39.955399,27,39.95616363,-75.1927663,0,1,1426
Dim Sum Garden,-75.156727,39.955399,28,39.95178299,-75.1953519,0,1,2164
Dim Sum Garden,-75.156727,39.955399,73,39.94983922,-75.19435704,0,1,1214
Dim Sum Garden,-75.156727,39.955399,26,39.95075218,-75.19492135,0,1,3213
